행정기관코드,행정기관코드/100,법정동코드,행정기관,총인구수,세대수,남자 인구수,여자 인구수
1121577000,11215770,1105058,서울특별시 광진구 중곡제4동,32497,12291,16140,16357
1121578000,11215780,1105059,서울특별시 광진구 능동,10720,4966,5221,5499
1121581000,11215810,1105063,서울특별시 광진구 광장동,36212,12247,17674,18538
1121582000,11215820,1105064,서울특별시 광진구 자양제1동,24723,10965,12300,12423
1121583000,11215830,1105065,서울특별시 광진구 자양제2동,29334,11391,14762,14572
1121584000,11215840,1105066,서울특별시 광진구 자양제3동,31698,11455,15737,15961
1121584700,11215847,1105067,서울특별시 광진구 자양제4동,27773,12882,14077,13696
1121585000,11215850,1105060,서울특별시 광진구 구의제1동,23375,10828,11356,12019
1121586000,11215860,1105061,서울특별시 광진구 구의제2동,26504,10335,13176,13328
1121587000,11215870,1105062,서울특별시 광진구 구의제3동,30049,11443,14630,15419
1123000000,11230000,#N/A,서울특별시 동대문구 ,372234,156880,187622,184612
1123051000,11230510,1106051,서울특별시 동대문구 신설동,8926,4127,4631,4295
1123053500,11230535,1106077,서울특별시 동대문구 용두동,19198,9264,10055,9143
1123054000,11230540,1106054,서울특별시 동대문구 제기제1동,13080,5918,6681,6399
1123055000,11230550,1106055,서울특별시 동대문구 제기제2동,16238,7199,8275,7963
1123056000,11230560,1106056,서울특별시 동대문구 전농제1동,12126,5262,6205,5921
1123057000,11230570,1106078,서울특별시 동대문구 전농제2동,19570,8975,10216,9354
1123058000,11230580,1106058,서울특별시 동대문구 전농제3동,19533,7143,9656,9877
1123060000,11230600,1106060,서울특별시 동대문구 답십리제1동,11093,4541,5569,5524
1123061000,11230610,1106061,서울특별시 동대문구 답십리제2동,15690,5756,7815,7875
1123062000,11230620,1106079,서울특별시 동대문구 답십리제3동,15505,6568,7883,7622
1123063000,11230630,1106063,서울특별시 동대문구 답십리제4동,15501,5862,7732,7769
1123065000,11230650,1106065,서울특별시 동대문구 장안제1동,18288,7757,9350,8938
1123066000,11230660,1106066,서울특별시 동대문구 장안제2동,17845,6563,9091,8754
1123067000,11230670,1106067,서울특별시 동대문구 장안제3동,18072,6478,9015,9057
1123068000,11230680,1106068,서울특별시 동대문구 장안제4동,14919,5952,7505,7414
1123070500,11230705,1106080,서울특별시 동대문구 청량리동,25412,10811,12754,12658
1123071000,11230710,1106071,서울특별시 동대문구 회기동,11094,5554,5461,5633
1123072000,11230720,1106072,서울특별시 동대문구 휘경제1동,17570,8191,8760,8810
1123073000,11230730,1106073,서울특별시 동대문구 휘경제2동,25029,9840,12301,12728
1123074000,11230740,1106074,서울특별시 동대문구 이문제1동,14273,6640,7081,7192
1123075000,11230750,1106075,서울특별시 동대문구 이문제2동,19264,9504,9660,9604
1123076000,11230760,1106076,서울특별시 동대문구 이문제3동,24008,8975,11926,12082
1126000000,11260000,#N/A,서울특별시 중랑구 ,428247,171029,214377,213870
1126052000,11260520,1107052,서울특별시 중랑구 면목제2동,28737,11818,14517,14220
1126054000,11260540,1107054,서울특별시 중랑구 면목제4동,23988,10178,11686,12302
1126055000,11260550,1107055,서울특별시 중랑구 면목제5동,14875,6242,7598,7277
1126056500,11260565,1107071,서울특별시 중랑구 면목본동,37504,15661,18743,18761
1126057000,11260570,1107057,서울특별시 중랑구 면목제7동,26803,10654,13427,13376
1126057500,11260575,1107072,서울특별시 중랑구 면목제3.8동,30823,12732,15479,15344
1126058000,11260580,1107059,서울특별시 중랑구 상봉제1동,26473,9433,13139,13334
1126059000,11260590,1107060,서울특별시 중랑구 상봉제2동,19036,8817,9656,9380
1126060000,11260600,1107061,서울특별시 중랑구 중화제1동,22134,8169,11063,11071
1126061000,11260610,1107062,서울특별시 중랑구 중화제2동,32467,14601,16572,15895
1126062000,11260620,1107064,서울특별시 중랑구 묵제1동,34699,12718,17176,17523
1126063000,11260630,1107065,서울특별시 중랑구 묵제2동,20356,8215,10299,10057
1126065500,11260655,1107073,서울특별시 중랑구 망우본동,34652,14040,17385,17267
1126066000,11260660,1107068,서울특별시 중랑구 망우제3동,20301,8276,10256,10045
1126068000,11260680,1107069,서울특별시 중랑구 신내1동,29037,10034,14466,14571
1126069000,11260690,1107070,서울특별시 중랑구 신내2동,26362,9441,12915,13447
1129000000,11290000,#N/A,서울특별시 성북구 ,472948,190359,234637,238311
1129052500,11290525,1108081,서울특별시 성북구 성북동,19376,8291,9419,9957
1129055500,11290555,1108082,서울특별시 성북구 삼선동,26859,11559,13177,13682
1129057500,11290575,1108083,서울특별시 성북구 동선동,15275,7365,7097,8178
1129058000,11290580,1108058,서울특별시 성북구 돈암제1동,17958,6676,8732,9226
1129059000,11290590,1108059,서울특별시 성북구 돈암제2동,24653,8664,12050,12603
1129060000,11290600,1108060,서울특별시 성북구 안암동,17662,8701,9080,8582
1129061000,11290610,1108061,서울특별시 성북구 보문동,17349,7627,8654,8695
1129062000,11290620,1108062,서울특별시 성북구 정릉제1동,18193,6727,8713,9480
1129063000,11290630,1108063,서울특별시 성북구 정릉제2동,24424,9445,12177,12247
1129064000,11290640,1108064,서울특별시 성북구 정릉제3동,19105,8182,9578,9527
1129065000,11290650,1108065,서울특별시 성북구 정릉제4동,28247,10758,13971,14276
1129066000,11290660,1108066,서울특별시 성북구 길음제1동,28630,10203,13931,14699
1129068500,11290685,1108068,서울특별시 성북구 길음제2동,21047,9015,10312,10735
1129070500,11290705,1108084,서울특별시 성북구 종암동,36445,14626,18426,18019
1129071500,11290715,1108071,서울특별시 성북구 월곡제1동,27544,10450,13750,13794
1129072500,11290725,1108072,서울특별시 성북구 월곡제2동,21776,8354,10843,10933
1129076000,11290760,1108076,서울특별시 성북구 장위제1동,27659,10753,13802,13857
1129077000,11290770,1108077,서울특별시 성북구 장위제2동,24580,9916,12426,12154
1129078000,11290780,1108078,서울특별시 성북구 장위제3동,18980,7937,9770,9210
1129081000,11290810,1108085,서울특별시 성북구 석관동,37186,15110,18729,18457
1130500000,11305000,#N/A,서울특별시 강북구 ,342575,136213,170021,172554
1130553400,11305534,1109069,서울특별시 강북구 삼양동,33079,13321,16605,16474
1130553500,11305535,1109070,서울특별시 강북구 미아동,24854,10302,12446,12408
1130554500,11305545,1109071,서울특별시 강북구 송중동,36444,14395,17876,18568
1130555500,11305555,1109072,서울특별시 강북구 송천동,33130,13866,16500,16630
1130557500,11305575,1109073,서울특별시 강북구 삼각산동,24675,8486,12222,12453
1130559000,11305590,1109060,서울특별시 강북구 번제1동,20073,8595,9910,10163
1130560000,11305600,1109061,서울특별시 강북구 번제2동,21173,8194,10498,10675
1130560600,11305606,1109062,서울특별시 강북구 번제3동,22329,7829,10828,11501
1130561000,11305610,1109063,서울특별시 강북구 수유제1동,23240,9517,11765,11475
1130562000,11305620,1109064,서울특별시 강북구 수유제2동,23609,9071,11651,11958
1130563000,11305630,1109065,서울특별시 강북구 수유제3동,24106,10489,11976,12130
1130564500,11305645,1109074,서울특별시 강북구 우이동,21706,8603,10926,10780
1130566000,11305660,1109075,서울특별시 강북구 인수동,34157,13545,16818,17339
1132000000,11320000,#N/A,서울특별시 도봉구 ,374459,139678,185668,188791
1132051100,11320511,1110059,서울특별시 도봉구 창제1동,29395,11113,14419,14976
1132051200,11320512,1110060,서울특별시 도봉구 창제2동,31793,12280,15715,16078
1132051300,11320513,1110061,서울특별시 도봉구 창제3동,16800,6694,8486,8314
1132051400,11320514,1110062,서울특별시 도봉구 창제4동,31571,11437,15348,16223
1132051500,11320515,1110063,서울특별시 도봉구 창제5동,28774,10264,14164,14610
1132052100,11320521,1110064,서울특별시 도봉구 도봉제1동,25919,10727,13176,12743
1132052200,11320522,1110065,서울특별시 도봉구 도봉제2동,32937,12207,16406,16531
1132066000,11320660,1110051,서울특별시 도봉구 쌍문제1동,23416,8960,11601,11815
1132067000,11320670,1110052,서울특별시 도봉구 쌍문제2동,21738,8290,10746,10992
1132068000,11320680,1110053,서울특별시 도봉구 쌍문제3동,19044,7398,9361,9683
1132068100,11320681,1110054,서울특별시 도봉구 쌍문제4동,22225,7558,10823,11402
1132069000,11320690,1110055,서울특별시 도봉구 방학제1동,33001,11950,16484,16517
1132070000,11320700,1110056,서울특별시 도봉구 방학제2동,24827,9789,12595,12232
1132071000,11320710,1110057,서울특별시 도봉구 방학제3동,33019,11011,16344,16675
1135000000,11350000,#N/A,서울특별시 노원구 ,616449,224999,302229,314220
1135056000,11350560,1111051,서울특별시 노원구 월계1동,18632,6963,9295,9337
1135057000,11350570,1111052,서울특별시 노원구 월계2동,27996,10680,13624,14372
1135058000,11350580,1111053,서울특별시 노원구 월계3동,27671,9769,13693,13978
1135058100,11350581,1111054,서울특별시 노원구 월계4동,20529,8782,10290,10239
1135060000,11350600,1111056,서울특별시 노원구 공릉2동,46837,16610,23292,23545
1135060500,11350605,1111075,서울특별시 노원구 공릉1.3동,41288,16334,20311,20977
1135061100,11350611,1111058,서울특별시 노원구 하계1동,31711,11512,15353,16358
1135061200,11350612,1111059,서울특별시 노원구 하계2동,26844,8904,13112,13732
1135061900,11350619,1111060,서울특별시 노원구 중계본동,30835,10174,15246,15589
1135062100,11350621,1111061,서울특별시 노원구 중계1동,31791,9994,15629,16162
1135062200,11350622,1111062,서울특별시 노원구 중계2동,18832,6567,9012,9820
1135062300,11350623,1111063,서울특별시 노원구 중계3동,24895,9205,11738,13157
1135062400,11350624,1111064,서울특별시 노원구 중계4동,23908,8578,11675,12233
1135063000,11350630,1111065,서울특별시 노원구 상계1동,40987,14334,20344,20643
1135064000,11350640,1111066,서울특별시 노원구 상계2동,22848,8433,11351,11497
1135066500,11350665,1111076,서울특별시 노원구 상계3.4동,42233,16900,21310,20923
1135067000,11350670,1111069,서울특별시 노원구 상계5동,25075,9345,12317,12758
1135069500,11350695,1111077,서울특별시 노원구 상계6.7동,38398,14834,18245,20153
1135070000,11350700,1111072,서울특별시 노원구 상계8동,27633,9542,13411,14222
1135071000,11350710,1111073,서울특별시 노원구 상계9동,26019,9332,12739,13280
1135072000,11350720,1111074,서울특별시 노원구 상계10동,21487,8207,10242,11245
1138000000,11380000,#N/A,서울특별시 은평구 ,457526,182299,226251,231275
1138051000,11380510,1112051,서울특별시 은평구 녹번동,36300,15565,17711,18589
1138052000,11380520,1112052,서울특별시 은평구 불광제1동,35771,14745,17482,18289
1138053000,11380530,1112072,서울특별시 은평구 불광제2동,32476,13488,16149,16327
1138055100,11380551,1112055,서울특별시 은평구 갈현제1동,27151,10778,13467,13684
1138055200,11380552,1112056,서울특별시 은평구 갈현제2동,27714,10624,13485,14229
1138056000,11380560,1112057,서울특별시 은평구 구산동,32985,11266,17048,15937
1138057000,11380570,1112058,서울특별시 은평구 대조동,31524,13305,15203,16321
1138058000,11380580,1112059,서울특별시 은평구 응암제1동,33321,13735,16397,16924
1138059000,11380590,1112060,서울특별시 은평구 응암제2동,21703,9319,10866,10837
1138060000,11380600,1112073,서울특별시 은평구 응암제3동,27964,11557,13954,14010
1138062500,11380625,1112074,서울특별시 은평구 역촌동,46154,17882,22306,23848
1138063100,11380631,1112065,서울특별시 은평구 신사제1동,27256,10255,13441,13815
1138063200,11380632,1112066,서울특별시 은평구 신사제2동,24683,9394,12579,12104
1138064000,11380640,1112067,서울특별시 은평구 증산동,22090,8600,11062,11028
1138065000,11380650,1112068,서울특별시 은평구 수색동,20974,8484,10434,10540
1138069000,11380690,1112071,서울특별시 은평구 진관동,9460,3302,4667,4793
1141000000,11410000,#N/A,서울특별시 서대문구 ,334069,139311,163524,170545
1141052000,11410520,1113052,서울특별시 서대문구 천연동,19018,7881,9314,9704
1141055500,11410555,1113074,서울특별시 서대문구 북아현동,20073,9112,9679,10394
1141056500,11410565,1113073,서울특별시 서대문구 충현동,23952,10599,11889,12063
1141058500,11410585,1113075,서울특별시 서대문구 신촌동,18779,10284,8627,10152
1141061500,11410615,1113076,서울특별시 서대문구 연희동,41814,18391,20456,21358
1141062000,11410620,1113062,서울특별시 서대문구 홍제제1동,28663,11499,13831,14832
1141064000,11410640,1113064,서울특별시 서대문구 홍제제3동,20818,8340,10173,10645
1141065500,11410655,1113065,서울특별시 서대문구 홍제제2동,16262,6076,7884,8378
1141066000,11410660,1113066,서울특별시 서대문구 홍은제1동,28915,11189,14344,14571
1141068500,11410685,1113068,서울특별시 서대문구 홍은제2동,29559,11493,14587,14972
1141069000,11410690,1113069,서울특별시 서대문구 남가좌제1동,8960,4119,4525,4435
1141070000,11410700,1113070,서울특별시 서대문구 남가좌제2동,31243,12517,15363,15880
1141071000,11410710,1113071,서울특별시 서대문구 북가좌제1동,11901,4736,6022,5879
1141072000,11410720,1113072,서울특별시 서대문구 북가좌제2동,34112,13075,16830,17282
1144000000,11440000,#N/A,서울특별시 마포구 ,385780,166305,188668,197112
1144055500,11440555,1114078,서울특별시 마포구 아현동,18690,8385,9170,9520
1144056500,11440565,1114077,서울특별시 마포구 공덕동,37286,16196,18422,18864
1144058500,11440585,1114075,서울특별시 마포구 도화동,23340,9096,11314,12026
1144059000,11440590,1114059,서울특별시 마포구 용강동,22227,9143,10827,11400
1144060000,11440600,1114060,서울특별시 마포구 대흥동,16331,9156,7987,8344
1144061000,11440610,1114061,서울특별시 마포구 염리동,18806,8384,9191,9615
1144063000,11440630,1114063,서울특별시 마포구 신수동,22504,9579,11231,11273
1144065500,11440655,1114076,서울특별시 마포구 서강동,26373,11971,12767,13606
1144066000,11440660,1114066,서울특별시 마포구 서교동,30021,16025,14072,15949
1144068000,11440680,1114068,서울특별시 마포구 합정동,21428,9312,10545,10883
1144069000,11440690,1114069,서울특별시 마포구 망원제1동,24576,10195,12163,12413
1144070000,11440700,1114070,서울특별시 마포구 망원제2동,21367,8370,10504,10863
1144071000,11440710,1114071,서울특별시 마포구 연남동,19857,8880,9626,10231
1144072000,11440720,1114072,서울특별시 마포구 성산제1동,20215,8274,9996,10219
1144073000,11440730,1114073,서울특별시 마포구 성산제2동,41262,15517,20127,21135
1144074000,11440740,1114074,서울특별시 마포구 상암동,21497,7822,10726,10771
1147000000,11470000,#N/A,서울특별시 양천구 ,502801,183138,250831,251970
1147051000,11470510,1115051,서울특별시 양천구 목1동,31562,10387,15464,16098
1147052000,11470520,1115052,서울특별시 양천구 목2동,32060,12110,15940,16120
1147053000,11470530,1115053,서울특별시 양천구 목3동,23605,9364,11688,11917
1147054000,11470540,1115054,서울특별시 양천구 목4동,29399,10574,14742,14657
1147055000,11470550,1115071,서울특별시 양천구 목5동,47678,14935,23631,24047
1147056000,11470560,1115057,서울특별시 양천구 신월1동,24776,10076,12713,12063
1147057000,11470570,1115058,서울특별시 양천구 신월2동,23679,8809,11882,11797
1147058000,11470580,1115059,서울특별시 양천구 신월3동,18401,7849,9496,8905
1147059000,11470590,1115060,서울특별시 양천구 신월4동,18467,6472,9295,9172
1147060000,11470600,1115061,서울특별시 양천구 신월5동,15387,5917,7667,7720
1147061000,11470610,1115062,서울특별시 양천구 신월6동,15449,6062,7827,7622
1147061100,11470611,1115063,서울특별시 양천구 신월7동,26413,9630,13274,13139
1147062000,11470620,1115064,서울특별시 양천구 신정1동,24920,8757,12336,12584
